product_id,shop_product_name,kor_price
B75806,samba og cloud white core black core granite,161000
B75807,samba og core black cloud white gum 5,161000
GW3159,samba adv core black cloud white gold metallic,161000
GZ8477,samba adv footwear white core black gum 5,161000
DB3021,handball spezial core black cloud white gum 5,142000
ID2056,samba og night navy cream white gum 5,163000
IE7013,samba og aluminium chalk white wonder beige,163000
BD7633,handball spezial collegiate navy clear sky gum 5,147000
IG9980,gazelle indoor shadow maroon semi lucid blue simple brown,135000
FV1227,handball spezial scarlet footwear white gum 5,156000
IF6564,handball spezial light blue wonder clay footwear white,154000
H06271,gazelle indoor collegiate navy collegiate navy collegiate navy,149000
H06269,gazelle indoor mesa mesa mesa,149000
GY7370,gazelle bronze strata pantone gum,147000
ID2109,state series ma massachusetts halo blue core fuchsia footwear white,163000
ID2055,samba og core white halo blue gum 5,163000
IG5003,gazelle 85 clear sky footwear white gold metallic,147000
IG9653,gazelle bold super pop cloud white core white,161000
IE7012,samba og shadow violet carbon cream white,163000
IE7011,samba og silver green chalk white gum,163000
GV7615,parley superstar footwear white off white white tint,113000
HP9164,nora core black footwear white gold metallic,149000
IE4230,country og matte silver bright blue footwear white,163000
GY7396,tobacco pantone mesa gum,147000
GX6939,tobacco gruen collegiate orange fox orange gum,112000
GX6940,tobacco gruen cream white bliss light brown,127000
ID4574,bermuda bold gold almost yellow premium yellow,154000
IF0202,stan smith 80s footwear white footwear white green,149000
FZ5597,stan smith 80s footwear white footwear white green,149000
GM4256,by human made windbreaker hm collegiate navy,262000
IG9979,gazelle indoor collegiate green haze sky victory gold,163000
